Starting global crib with output settings...
shiftsum | shiftdifferencessum | cribword | shiftlist | shiftdifferences | shiftlistfacts | shiftsinwordform | shiftsingpform
ioo(1) 40 | 25 | seek | [7, 8, 3, 22] | [1, 5, 19] | [ad, diffs_incremental, diffs_is_odd, dad] | WHOOE | OJ(UB)EA 
ioo(2) 78 | 41 | seek | [28, 9, 24, 17] | [19, 15, 7] | [ad, diffs_decremental, diffs_is_odd, dad] | EANAB | ?EA?ESG 
Results for mobius15.txt
ioo(0) 42 | 24 | seek | [14, 12, 2, 14] | [2, 10, 12] | [is_even, hr, diffs_incremental, diffs_is_even, dad] | XEOTHX | (PAE)EO(FID)(PAE) 
ioo(1) 82 | 25 | seek | [24, 12, 21, 25] | [12, 9, 4] | [ad, diffs_decremental, dad] | AEOINGAE | SEOINGOE 
ioo(2) 90 | 13 | seek | [14, 26, 25, 25] | [12, 1, 0] | [hr, diffs_decremental, dad] | XYAEAE | (PAE)?Y?OEOE 
ioo(3) 28 | 19 | seek | [17, 5, 6, 0] | [12, 1, 6] | [ad, dad] | BCGF | GTH?G?N 
ioo(4) 86 | 21 | seek | [15, 27, 26, 18] | [12, 1, 8] | [ad, dad] | SIOYE | L?IO??Y?X 
ioo(5) 49 | 22 | seek | [16, 12, 5, 16] | [4, 7, 11] | [hr, diffs_incremental, dad] | TEOCT | YEOTHY 
ioo(6) 62 | 22 | seek | [7, 9, 25, 21] | [2, 16, 4] | [is_odd, ad, diffs_is_even, dad] | WNAEING | OEOEING 
ioo(7) 57 | 38 | seek | [18, 13, 2, 24] | [5, 11, 22] | [ad, diffs_incremental, dad] | EPTHA | X(CM)(FID)S 
Results for mobius16.txt
ioo(0) 56 | 18 | seek | [22, 17, 7, 10] | [5, 10, 3] | [ad, dad] | OEBWI | EAGOA 
ioo(1) 63 | 26 | seek | [27, 18, 17, 1] | [9, 1, 16] | [decremental, ad, dad] | IOEBU | ?IO?XGT 
ioo(2) 58 | 35 | seek | [20, 4, 11, 23] | [16, 7, 12] | [ad, dad] | LRJD | IO?R?RH 
ioo(3) 64 | 23 | seek | [28, 10, 11, 15] | [18, 1, 4] | [ad, dad] | EAIJS | ?EA?ARL 
ioo(4) 59 | 57 | seek | [5, 23, 5, 26] | [18, 18, 21] | [hr, diffs_incremental, dhr] | CDCY | THHTH?Y? 
ioo(5) 49 | 39 | seek | [11, 0, 22, 16] | [11, 22, 6] | [ad, dad] | JFOET | RNEAY 
ioo(6) 68 | 9 | seek | [15, 16, 15, 22] | [1, 1, 7] | [hr, diffs_incremental, diffs_is_odd, dhr] | STSOE | LYLEA 
ioo(7) 65 | 10 | seek | [12, 14, 17, 22] | [2, 3, 5] | [incremental, ad, diffs_incremental, dad, diffs_all_prime] | EOXBOE | EO(PAE)GEA 
Results for mobius17.txt
ioo(0) 65 | 37 | seek | [12, 6, 28, 19] | [6, 22, 9] | [ad, dad] | EOGEAM | EO?G??EA?W 
ioo(1) 46 | 23 | seek | [6, 9, 20, 11] | [3, 11, 9] | [ad, diffs_is_odd, dad] | GNLJ | ?G?EIOR 
ioo(2) 81 | 11 | seek | [23, 22, 16, 20] | [1, 6, 4] | [ad, dad] | DOETL | HEAYIO 
ioo(3) 82 | 17 | seek | [12, 22, 21, 27] | [10, 1, 6] | [ad, dad] | EOOEINGIO | EOEAING?IO? 
ioo(4) 62 | 19 | seek | [26, 13, 14, 9] | [13, 1, 5] | [ad, diffs_is_odd, dad] | YPXN | ?Y?(CM)(PAE)E 
ioo(5) 39 | 18 | seek | [20, 12, 5, 2] | [8, 7, 3] | [decremental, ad, diffs_decremental, dad] | LEOCTH | IOEOTH(FID) 
ioo(6) 50 | 24 | seek | [0, 8, 22, 20] | [8, 14, 2] | [is_even, ad, diffs_is_even, dad] | FHOEL | NJEAIO 
ioo(7) 44 | 26 | seek | [10, 4, 6, 24] | [6, 2, 18] | [is_even, ad, diffs_is_even, dad] | IRGA | A?R??G?S 
ioo(8) 74 | 21 | seek | [20, 14, 23, 17] | [6, 9, 6] | [ad, dhr] | LXDB | IO(PAE)HG 
ioo(9) 71 | 21 | seek | [24, 13, 19, 15] | [11, 6, 4] | [ad, diffs_decremental, dad] | APMS | S(CM)WL 
ioo(10) 65 | 32 | seek | [1, 22, 25, 17] | [21, 3, 8] | [ad, dad] | UOEAEB | TEAOEG 
ioo(11) 35 | 15 | seek | [7, 11, 13, 4] | [4, 2, 9] | [ad, dad] | WJPR | OR(CM)?R? 
ioo(12) 67 | 41 | seek | [13, 2, 28, 24] | [11, 26, 4] | [ad, dad] | PTHEAA | (CM)(FID)?EA?S 
Results for mobius18.txt
ioo(0) 68 | 44 | seek | [21, 14, 28, 5] | [7, 14, 23] | [ad, diffs_incremental, dad] | INGXEAC | ING(PAE)?EA?TH 
ioo(1) 64 | 19 | seek | [24, 23, 12, 5] | [1, 11, 7] | [decremental, ad, diffs_is_odd, dad] | ADEOC | SHEOTH 
ioo(2) 65 | 18 | seek | [6, 20, 21, 18] | [14, 1, 3] | [ad, dad] | GLINGE | ?G?IOINGX 
ioo(3) 24 | 20 | seek | [1, 5, 13, 5] | [4, 8, 8] | [is_odd, hr, diffs_incremental, diffs_is_even, dhr] | UCPC | TTH(CM)TH 
ioo(4) 25 | 14 | seek | [9, 5, 2, 9] | [4, 3, 7] | [hr, dad] | NCTHN | ETH(FID)E 
ioo(5) 44 | 31 | seek | [7, 15, 20, 2] | [8, 5, 18] | [ad, dad] | WSLTH | OLIO(FID) 
ioo(6) 58 | 53 | seek | [14, 1, 28, 15] | [13, 27, 13] | [ad, diffs_is_odd, dhr] | XUEAS | (PAE)T?EA?L 
ioo(7) 58 | 48 | seek | [19, 4, 24, 11] | [15, 20, 13] | [ad, dad] | MRAJ | W?R?SR 
ioo(8) 60 | 11 | seek | [15, 11, 16, 18] | [4, 5, 2] | [ad, dad] | SJTE | LRYX 
ioo(9) 30 | 29 | seek | [8, 1, 0, 21] | [7, 1, 21] | [ad, diffs_is_odd, dad] | HUFING | JTNING 
Results for mobius19.txt
ioo(0) 52 | 12 | seek | [18, 14, 14, 6] | [4, 0, 8] | [decremental, is_even, hr, diffs_is_even, dad] | EXXG | X(PAE)(PAE)?G? 
ioo(1) 63 | 45 | seek | [26, 10, 22, 5] | [16, 12, 17] | [ad, dad] | YIOEC | ?Y?AEATH 
ioo(2) 51 | 16 | seek | [16, 17, 16, 2] | [1, 1, 14] | [hr, diffs_incremental, dhr] | TBTTH | YGY(FID) 
ioo(3) 62 | 25 | seek | [25, 17, 18, 2] | [8, 1, 16] | [ad, dad] | AEBETH | OEGX(FID) 
ioo(4) 61 | 13 | seek | [18, 21, 11, 11] | [3, 10, 0] | [hr, dad] | EINGJJ | XINGRR 
ioo(5) 57 | 17 | seek | [10, 17, 19, 11] | [7, 2, 8] | [ad, dad] | IBMJ | AGWR 
